id;nombre_grupoalimento_español;nombre_grupoalimento_inglés;nombre_espaÃ±ol;nombre_inglés;codificación_LanguaL;parte_comestible;luteina (ug por 100 g de porción comestible);carbohidratos (g por 100 g de porción comestible);luteina más zeaxantina (ug por 100 g de porción comestible);licopeno (ug por 100 g de porción comestible);sacarosa (g por 100 g de porción comestible);lactosa (g por 100 g de porción comestible);maltosa (g por 100 g de porción comestible);caroteno, total (precursores de la vitamina A) (ug por 100 g de porción comestible);carotenoides, totales (ug por 100 g de porción comestible);alfa-caroteno (ug por 100 g de porción comestible);beta-caroteno (ug por 100 g de porción comestible);equivalentes de beta-caroteno  (carotenoides provitamina A) (ug por 100 g de porción comestible);colecalciferol (ug por 100 g de porción comestible);retinol(vitamina A preformada) (ug por 100 g de porción comestible);Vitamina A equivalentes de retinol de actividades de retinos y carotenoides (ug por 100 g de porción comestible);Vitamina D (ug por 100 g de porción comestible);Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E (mg por 100 g de porción comestible);zeaxantina (ug por 100 g de porción comestible);ácido graso 10:0 (ácido cáprico) (g por 100 g de porción comestible);ácido graso 12:0 (láurico) (g por 100 g de porción comestible);ácido graso 14:0 (ácido mirístico) (g por 100 g de porción comestible);ácido graso 16:0 (ácido palmítico) (g por 100 g de porción comestible);ácido graso 16:1 n-7 cis (ácido palmitoléico) (g por 100 g de porción comestible);ácido graso 18:0 (ácido esteárico) (g por 100 g de porción comestible);ácido graso 18:1 n-9 cis (ácido oléico) (g por 100 g de porción comestible);ácido graso 18:2 (g por 100 g de porción comestible);ácido graso 18:3 (g por 100 g de porción comestible);ácido graso 20:0 (ácido araquídico) (g por 100 g de porción comestible);ácido graso 20:1 cis (ácido eicosenóico) (g por 100 g de porción comestible);ácido graso 20:4 n-6  (ácido araquidónico) (g por 100 g de porción comestible);ácido graso 20:5 (ácido eicosapentaenóico) (g por 100 g de porción comestible);ácido graso 22:6 n-3 (ácido docosahexaenóico) (g por 100 g de porción comestible);ácido graso 4:0 (ácido butírico) (g por 100 g de porción comestible);ácido graso 6:0 (ácido capróico) (g por 100 g de porción comestible);ácido graso 8:0 (ácido caprílico) (g por 100 g de porción comestible);ácidos grasos, monoinsaturados totales (g por 100 g de porción comestible);ácidos grasos, poliinsaturados totales (g por 100 g de porción comestible);ácidos grasos saturados totales (g por 100 g de porción comestible);ácidos grasos, trans totales (g por 100 g de porción comestible);fibra, dietetica total (g por 100 g de porción comestible);calcio (mg por 100 g de porción comestible);cloruro (mg por 100 g de porción comestible);hierro, total (mg por 100 g de porción comestible);potasio (mg por 100 g de porción comestible);magnesio (mg por 100 g de porción comestible);sodio (mg por 100 g de porción comestible);hierro, no hemo (mg por 100 g de porción comestible);fósforo (mg por 100 g de porción comestible);fructosa (g por 100 g de porción comestible);glucosa (g por 100 g de porción comestible);proteína, animal (g por 100 g de porción comestible);proteina, vegetal (g por 100 g de porción comestible);alcohol (etanol) (g por 100 g de porción comestible);energía, total (kcal por 100 g de porción comestible);grasa, total (lipidos totales) (g por 100 g de porción comestible);ácidos orgánicos, totales (g por 100 g de porción comestible);proteina, total (g por 100 g de porción comestible);agua (humedad) (mg por 100 g de porción comestible);agua (humedad) (g por 100 g de porción comestible);almidón, total (g por 100 g de porción comestible);brassicasterol (mg por 100 g de porción comestible);campesterol, total (mg por 100 g de porción comestible);colesterol (mg por 100 g de porción comestible);sitosterol (mg por 100 g de porción comestible);estigmasterol (mg por 100 g de porción comestible);azucares, totales (g por 100 g de porción comestible);cobre (mg por 100 g de porción comestible);ioduro (ug por 100 g de porción comestible);manganeso (mg por 100 g de porción comestible);niquel (ug por 100 g de porción comestible);selenio, total (ug por 100 g de porción comestible);zinc (cinc) (mg por 100 g de porción comestible);biotina (mg por 100 g de porción comestible);biotina (ug por 100 g de porción comestible);beta-criptoxantina (ug por 100 g de porción comestible);folato, total (ug por 100 g de porción comestible);niacina, preformada (mg por 100 g de porción comestible);equivalentes de niacina, totales (mg por 100 g de porción comestible);ácido pantoténico (vitamina B5) (mg por 100 g de porción comestible);piridoxina (mg por 100 g de porción comestible);riboflavina (mg por 100 g de porción comestible);tiamina (mg por 100 g de porción comestible);Vitamina B-12 (ug por 100 g de porción comestible);Vitamina B-6, Total (mg por 100 g de porción comestible);Vitamina C (ácido ascórbico) (mg por 100 g de porción comestible);ácido fólico (ug por 100 g de porción comestible)
680;3;Meat and meat products;Bacón, ahumado, a la parrilla;Bacon, smoked, grilled;A0279 A0459 A0633 A0666 A0714 A0726 A0799 B1136 C0269 E0150 F0014 G0006 H0172 H0173 H0253 J0106 K0003 M0001 N0001 P0024;1.000.000;;0;;;;;;;;;;0;;0;0;0,6;0,07;;;;;;;;;;;;;;;;;;;9,3;2,9;8,3;;0;7;;0,7;330;21;1760;;190;;;23,4;0;0;291,72;22,1;;23,4;;50,5;0;;;80;;;0;0,06;7;;;12;2,2;;5;;2;7;7;1,22;;0,16;0,9;1;0,46;0;
681;11;Beverages (non-milk);Café, con leche;Coffee infusion, with milk;A0268 A0465 A0639 A0663 A0710 A0845 B1305 C0155 E0123 F0014 G0012 H0148 H0184 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0109;1.000.000;;2,45;;;;;;;;;;5;;15;15,8333;0,01;0,04;;;;;;;;;;;;;;;;;;;0,6235;0,0656;1,2032;;0;55;;0,05;90;8;23;;42;;;1,6;0,1;0;37,93656;2,36538;;1,7;;94;0,15;;;8;;;2,3;;17,4;;;2,8;0,18;;;;1,66;0,7;0,7;;;0,08;0,02;0,1;0,01;0,5;
682;3;Meat and meat products;Bacon, crudo, con grasa separable;Bacon, raw, with separable fat;A0279 A0459 A0633 A0666 A0714 A0726 A0797 B1136 C0269 E0150 F0003 G0003 H0173 H0253 J0103 K0003 M0001 N0001 P0024 R0212 R0495 Z0112;1.000.000;;0,09;;;;;;;;;;;;;0,01;0,01;0,23;;;;;;;;;;;;;;;;;;;26,33;6,75;21,26;;0;13;;1,2;160;12;680;;108;;;;;0;546,4632;57,5;;8,7;;33,7;;;;100;;;;0,06;1,2;0,01;;25;1,8;;;;2;;1,8;0,35;0,3;0,11;0,36;0,8;0,3;0;
683;1;Milk and milk products;Batido lácteo de cacao, bajo en calorías;Milk shake, cacao, light;A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0018 G0003 H0231 H0247 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112;1.000.000;;4,6;;;;;;;;;;;;;70,3;0,3;0,7;;;;;;;;;;;;;;;;;;;0;0,1;0,3;;0;110;;1,1;180,7;24,6;88,3;;95;;;;;0;48,288;1,9;;3,1;;90,4;;;;0;;;;;10,6;;;3,7;0,9;;;;21,1;;1,3;;;0,18;0,1;0,36;0,15;4,2;
685;1;Milk and milk products;Batido lácteo, de fresa, bajo en calorías;Milk shake, strawberry, light;A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0014 G0003 H0247 H0395 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112;1.000.000;;22,9;;;4,3;0,85;;;;;;;;;70,3;0,3;0,7;;;;;;;;;;;;;;;;;;;0;0,1;0,3;;1,6;111,6;;1,1;180,7;24,6;88,3;;52,8;0,033;1,86;;;0;111,9552;0,34;;3,8;;72,9;;;;3,4;;;;;10,6;;;3,7;0,9;;;;21,1;;1,3;;;0,13;0,1;0,2;0,15;4,2;
686;3;Meat and meat products;Cabrito, parte s/e, crudo, con grasa separable;Kid, part n/e, raw, with separable fat;A0150 A0459 A0633 A0714 A0726 A0737 A0794 B2702 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0018 Z0112;0.700000;;0;;;;;;;;;;;;;0;0,4;0,09;;;;;;;;;;;;;;;;;;;2,2;0,3;1,5;;0;9;;0,9;385;22;82;;220;;;;;0;114,264;4;;19,3;;76,7;;;;56;;;;;5;;;1;2;;;;5;;6;;0,3;0,1;0,32;2;0,3;0;
687;3;Meat and meat products;Callos de ternera;Tripe, veal, raw;A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1201 C0212 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112;1.000.000;;0;;;;;;;;;;;;;0;0;0,08;;;0,007;0,121;0,861;;0,839;0,919;0,06;0,018;;;0,023;0,006;0,001;;;;1,31;0,07;2,03;0,1872;0;9;;1,95;270;8;46;;79;;;;;0;95,088;3,95;;14,56;;80;;;;95;;;;0,09;;0,01;;45,6;2,47;;0;;2;;0,06;0,56;;0,17;0,01;1,54;0,04;0;2
688;3;Meat and meat products;Cerdo, lomo, asado;Pork, loin, roasted;A0150 A0459 A0633 A0714 A0726 A0737 A0799 B1136 C0269 E0150 F0014 G0005 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0031 Z0112;1.000.000;;0;;;;;;;;;;0;;0;0;0;0,1;;;;;;;;;;;;;;;;;;;6,5;1,6;5,5;;0;12;;1,1;290;20;60;;170;;;27;0;0;236,88384;14,2707;;27;;56,1;0;;;75;;;0;;3;;;20;2,4;;;;4;;4,2;;;0,3;0,52;0,8;0,36;0;
689;3;Meat and meat products;Cerdo, pierna, cruda, con grasa separable;Pork, leg, raw, with separable fat;A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1136 C0269 E0150 F0003 G0001 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0024 Z0112;0.750000;;0;;;;;;;;;;;;;0,1;0,01;0;;;;;;;;;;;;;;;;;;;6,4;2,5;5,1;;0;8;50;1,5;370;22;80;;230;;;;;0;212,496;15,2;;19;;65,8;;;;63;;;;0,02;5;;;12;2,5;;3;;5;;8,7;1,32;0,45;0,2;0,89;1;0,45;0;5
691;1;Milk and milk products;Queso afuega'l pitu;"Cheese, ""afuega'l pitu"" type";A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0018 G0003 H0107 H0289 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112;1.000.000;;0;;;;;;;;;;;;;239,08;0,25;0,6;;;;;;;;;;;;;;;;;;;;;;;0;131,166;;0,15;141,024;12,275;588,25;;300,193;;;;;0;469,4352;40,56;;26,78;;27,8;;;;100;;;;65;;0,016;7,307;;0,491;;;;16;;3,05;;;0,3;0,04;1,55;0,09;0;
